,fn,target
2344,004711.jpg,"(array([112, 209, 239, 339]), 19)"
2345,004712.jpg,"(array([105, 100, 374, 379]), 15)"
2346,004713.jpg,"(array([  2,  59, 374, 499]), 15)"
2347,004716.jpg,"(array([  4, 211, 306, 403]), 15)"
2348,004717.jpg,"(array([397,   0, 499, 312]), 9)"
2349,004720.jpg,"(array([145, 240, 227, 319]), 8)"
2350,004721.jpg,"(array([120, 110, 319, 226]), 15)"
2351,004724.jpg,"(array([ 82,  74, 252, 429]), 6)"
2352,004725.jpg,"(array([ 56,   7, 374, 469]), 14)"
2353,004726.jpg,"(array([ 21,   1, 374, 425]), 15)"
2354,004728.jpg,"(array([198, 448, 252, 471]), 15)"
2355,004729.jpg,"(array([ 61,   8, 328, 381]), 14)"
2356,004730.jpg,"(array([  0, 165, 265, 499]), 3)"
2357,004731.jpg,"(array([ 56, 196, 388, 499]), 19)"
2358,004733.jpg,"(array([185,  20, 499, 282]), 9)"
2359,004734.jpg,"(array([ 42,  51, 233, 408]), 7)"
2360,004736.jpg,"(array([ 42,  89, 463, 291]), 8)"
2361,004738.jpg,"(array([287, 154, 431, 323]), 14)"
2362,004739.jpg,"(array([156,  62, 499, 233]), 15)"
2363,004740.jpg,"(array([228, 151, 374, 498]), 11)"
2364,004741.jpg,"(array([ 92, 242, 184, 366]), 10)"
2365,004744.jpg,"(array([ 25,   0, 332, 246]), 15)"
2366,004745.jpg,"(array([ 33,  35, 306, 434]), 7)"
2367,004749.jpg,"(array([ 47,  78, 230, 219]), 13)"
2368,004751.jpg,"(array([114,  54, 214, 452]), 19)"
2369,004752.jpg,"(array([ 71, 104, 137, 181]), 1)"
2370,004755.jpg,"(array([169, 156, 251, 442]), 7)"
2371,004756.jpg,"(array([112, 202, 247, 319]), 13)"
2372,004757.jpg,"(array([116, 288, 335, 447]), 3)"
2373,004758.jpg,"(array([ 48,  43, 307, 128]), 12)"
2374,004759.jpg,"(array([  1,   9, 354, 499]), 8)"
2375,004762.jpg,"(array([ 63,  65, 253, 467]), 6)"
2376,004763.jpg,"(array([ 25, 282, 345, 474]), 2)"
2377,004764.jpg,"(array([239,  65, 319, 182]), 7)"
2378,004765.jpg,"(array([ 10,  17, 499, 292]), 15)"
2379,004766.jpg,"(array([ 20, 216, 371, 371]), 15)"
2380,004767.jpg,"(array([ 83,   3, 374, 403]), 12)"
2381,004769.jpg,"(array([177, 199, 374, 499]), 2)"
2382,004771.jpg,"(array([ 74, 109, 399, 317]), 15)"
2383,004772.jpg,"(array([132,  52, 261, 400]), 10)"
2384,004774.jpg,"(array([102,  41, 292, 204]), 17)"
2385,004775.jpg,"(array([  1,  46, 331, 445]), 10)"
2386,004778.jpg,"(array([ 13,   0, 313, 179]), 16)"
2387,004780.jpg,"(array([382, 157, 450, 262]), 7)"
2388,004781.jpg,"(array([204, 211, 329, 317]), 9)"
2389,004784.jpg,"(array([124, 191, 247, 250]), 1)"
2390,004787.jpg,"(array([ 20, 129, 302, 429]), 12)"
2391,004791.jpg,"(array([ 39, 174, 210, 399]), 18)"
2392,004795.jpg,"(array([121, 225, 291, 300]), 15)"
2393,004798.jpg,"(array([ 15,  55, 332, 485]), 3)"
2394,004800.jpg,"(array([ 47,  26, 198, 288]), 14)"
2395,004802.jpg,"(array([102,  16, 208, 429]), 6)"
2396,004803.jpg,"(array([ 37, 142, 256, 309]), 15)"
2397,004804.jpg,"(array([106,  37, 262, 220]), 13)"
2398,004806.jpg,"(array([194,  42, 295, 315]), 7)"
2399,004807.jpg,"(array([ 23, 117, 300, 381]), 13)"
2400,004809.jpg,"(array([  3,  76, 332, 317]), 8)"
2401,004810.jpg,"(array([237,   7, 339, 185]), 7)"
2402,004811.jpg,"(array([ 10, 152, 456, 283]), 15)"
2403,004813.jpg,"(array([177, 294, 374, 499]), 18)"
2404,004817.jpg,"(array([290,   0, 339, 180]), 19)"
2405,004819.jpg,"(array([205, 116, 499, 374]), 11)"
2406,004820.jpg,"(array([351,   1, 499,  64]), 9)"
2407,004821.jpg,"(array([369,  49, 457, 249]), 7)"
2408,004822.jpg,"(array([ 64, 183, 355, 464]), 14)"
2409,004824.jpg,"(array([  2, 128, 132, 315]), 1)"
2410,004827.jpg,"(array([280,  93, 444, 260]), 17)"
2411,004829.jpg,"(array([ 22,  21, 499, 277]), 3)"
2412,004833.jpg,"(array([  0,   0, 374, 354]), 14)"
2413,004835.jpg,"(array([  1,   3, 332, 275]), 15)"
2414,004838.jpg,"(array([107,   2, 335, 433]), 18)"
2415,004843.jpg,"(array([116, 102, 227, 470]), 4)"
2416,004844.jpg,"(array([390,   1, 479, 175]), 7)"
2417,004845.jpg,"(array([  0,   2, 332, 333]), 8)"
2418,004847.jpg,"(array([  4, 158, 374, 416]), 2)"
2419,004851.jpg,"(array([ 47, 134, 325, 499]), 8)"
2420,004853.jpg,"(array([ 83,  32, 218, 446]), 19)"
2421,004854.jpg,"(array([193,  80, 297, 270]), 17)"
2422,004855.jpg,"(array([177,   0, 372, 499]), 18)"
2423,004858.jpg,"(array([  0, 396, 157, 499]), 16)"
2424,004860.jpg,"(array([ 61,  19, 394, 373]), 7)"
2425,004861.jpg,"(array([ 52, 112, 493, 319]), 3)"
2426,004862.jpg,"(array([357,   0, 499,  49]), 9)"
2427,004864.jpg,"(array([112,  39, 499, 322]), 14)"
2428,004865.jpg,"(array([ 51,  16, 290, 416]), 13)"
2429,004870.jpg,"(array([ 77, 105, 374, 398]), 14)"
2430,004871.jpg,"(array([ 87,  66, 360, 477]), 19)"
2431,004874.jpg,"(array([100,  61, 247, 323]), 13)"
2432,004875.jpg,"(array([  0,   1, 372, 358]), 3)"
2433,004877.jpg,"(array([105, 100, 292, 379]), 3)"
2434,004880.jpg,"(array([210, 396, 283, 418]), 5)"
2435,004881.jpg,"(array([167,   0, 374, 498]), 11)"
2436,004883.jpg,"(array([ 88,   9, 216, 487]), 6)"
2437,004884.jpg,"(array([ 59, 202, 378, 471]), 15)"
2438,004887.jpg,"(array([141,   2, 293, 258]), 18)"
2439,004888.jpg,"(array([188, 205, 394, 350]), 8)"
2440,004889.jpg,"(array([  5,  63, 336, 499]), 15)"
2441,004891.jpg,"(array([107, 130, 247, 413]), 7)"
2442,004892.jpg,"(array([178,   1, 374, 440]), 11)"
2443,004893.jpg,"(array([244, 130, 499, 240]), 15)"
2444,004894.jpg,"(array([ 20,  92, 332, 377]), 15)"
2445,004899.jpg,"(array([  0, 143, 332, 499]), 4)"
2446,004900.jpg,"(array([343,  86, 499, 131]), 15)"
2447,004901.jpg,"(array([130, 110, 317, 334]), 10)"
2448,004904.jpg,"(array([159,  64, 267, 243]), 2)"
2449,004906.jpg,"(array([ 78, 130, 248, 254]), 1)"
2450,004908.jpg,"(array([180,   1, 499, 374]), 18)"
2451,004909.jpg,"(array([ 24, 143, 442, 273]), 3)"
2452,004914.jpg,"(array([  5,  77, 353, 372]), 4)"
2453,004915.jpg,"(array([ 27, 103, 466, 421]), 3)"
2454,004917.jpg,"(array([122,  99, 331, 377]), 14)"
2455,004918.jpg,"(array([ 74,   1, 282, 499]), 9)"
2456,004919.jpg,"(array([ 31, 309, 260, 428]), 5)"
2457,004920.jpg,"(array([ 58,  22, 311, 266]), 15)"
2458,004921.jpg,"(array([132,  64, 381, 300]), 19)"
2459,004922.jpg,"(array([ 41,   1, 332, 499]), 18)"
2460,004923.jpg,"(array([124,  57, 374, 499]), 18)"
2461,004924.jpg,"(array([  2,   0, 369, 498]), 6)"
2462,004925.jpg,"(array([  1,   2, 497, 205]), 15)"
2463,004927.jpg,"(array([ 25,  57, 302, 432]), 7)"
2464,004930.jpg,"(array([ 18,  47, 332, 352]), 15)"
2465,004932.jpg,"(array([ 48,  72, 213, 237]), 13)"
2466,004933.jpg,"(array([162, 147, 199, 226]), 7)"
2467,004934.jpg,"(array([  1,   1, 331, 498]), 15)"
2468,004937.jpg,"(array([  1,  82, 325, 414]), 4)"
2469,004940.jpg,"(array([134,  18, 311, 488]), 7)"
2470,004941.jpg,"(array([  0,  87, 422, 372]), 16)"
2471,004942.jpg,"(array([133, 246, 337, 436]), 14)"
2472,004944.jpg,"(array([ 54,   0, 374, 188]), 6)"
2473,004945.jpg,"(array([ 40, 120, 356, 356]), 12)"
2474,004947.jpg,"(array([ 39,   0, 332, 188]), 15)"
2475,004949.jpg,"(array([303, 291, 391, 372]), 3)"
2476,004952.jpg,"(array([235, 150, 279, 182]), 19)"
2477,004957.jpg,"(array([ 10, 147, 363, 493]), 13)"
2478,004959.jpg,"(array([ 95, 272, 332, 499]), 7)"
2479,004964.jpg,"(array([181, 110, 288, 344]), 18)"
2480,004965.jpg,"(array([415, 151, 499, 280]), 7)"
2481,004969.jpg,"(array([159, 200, 236, 297]), 17)"
2482,004970.jpg,"(array([ 21,  23, 399, 481]), 13)"
2483,004971.jpg,"(array([134, 216, 374, 436]), 15)"
2484,004975.jpg,"(array([142,  11, 428, 365]), 8)"
2485,004978.jpg,"(array([104, 284, 374, 452]), 15)"
2486,004979.jpg,"(array([116, 177, 279, 303]), 12)"
2487,004980.jpg,"(array([207, 380, 251, 465]), 10)"
2488,004981.jpg,"(array([ 60,   4, 304, 430]), 7)"
2489,004988.jpg,"(array([ 13,   1, 305, 499]), 1)"
2490,004989.jpg,"(array([183,  56, 305, 433]), 6)"
2491,004993.jpg,"(array([103,  62, 292, 411]), 12)"
2492,004996.jpg,"(array([ 88,  41, 346, 479]), 7)"
2493,005000.jpg,"(array([162,  63, 374, 358]), 2)"
2494,005002.jpg,"(array([  1,  51, 216, 328]), 15)"
2495,005005.jpg,"(array([187,  64, 317, 455]), 7)"
2496,005008.jpg,"(array([110,  68, 254, 389]), 1)"
2497,005009.jpg,"(array([ 10, 422, 245, 499]), 15)"
2498,005010.jpg,"(array([ 12,   0, 379, 396]), 18)"
2499,005011.jpg,"(array([169,  72, 257, 499]), 19)"
2500,005012.jpg,"(array([  2, 189, 497, 328]), 15)"
2501,005013.jpg,"(array([ 71,  64, 284, 463]), 19)"
2502,005015.jpg,"(array([154,  43, 254, 316]), 3)"
2503,005017.jpg,"(array([216, 351, 275, 385]), 10)"
2504,005019.jpg,"(array([  0, 134, 339, 440]), 15)"
2505,005021.jpg,"(array([106,  39, 251, 475]), 7)"
2506,005022.jpg,"(array([103, 208, 139, 273]), 4)"
2507,005025.jpg,"(array([ 84,  11, 363, 499]), 18)"
2508,005030.jpg,"(array([ 58,  24, 290, 477]), 7)"
2509,005031.jpg,"(array([ 36,  24, 242, 171]), 15)"
2510,005034.jpg,"(array([127, 336, 198, 458]), 1)"
2511,005035.jpg,"(array([ 34,  32, 291, 482]), 7)"
2512,005038.jpg,"(array([134, 116, 288, 410]), 8)"
2513,005040.jpg,"(array([ 46, 101, 374, 412]), 15)"
2514,005041.jpg,"(array([130,  73, 374, 251]), 15)"
2515,005043.jpg,"(array([199, 308, 226, 425]), 1)"
2516,005044.jpg,"(array([108,  64, 330, 265]), 9)"
2517,005046.jpg,"(array([ 98,  29, 314, 499]), 6)"
2518,005048.jpg,"(array([ 11, 136, 339, 361]), 2)"
2519,005049.jpg,"(array([ 54,   1, 355, 218]), 15)"
2520,005050.jpg,"(array([  2,   0, 374, 499]), 9)"
2521,005051.jpg,"(array([  4,   0, 411, 375]), 12)"
2522,005053.jpg,"(array([123, 262, 204, 331]), 13)"
2523,005059.jpg,"(array([ 84,  88, 218, 234]), 20)"
2524,005060.jpg,"(array([196, 161, 374, 404]), 15)"
2525,005066.jpg,"(array([ 56, 101, 346, 400]), 6)"
2526,005069.jpg,"(array([ 35,   0, 240, 336]), 19)"
2527,005070.jpg,"(array([127,  30, 307, 404]), 19)"
2528,005074.jpg,"(array([151,  35, 296, 386]), 4)"
2529,005075.jpg,"(array([ 59,  53, 499, 330]), 3)"
2530,005076.jpg,"(array([  3,  14, 266, 499]), 1)"
2531,005080.jpg,"(array([ 42,  70, 308, 426]), 10)"
2532,005082.jpg,"(array([180, 305, 336, 479]), 18)"
2533,005083.jpg,"(array([ 83,  12, 286, 492]), 7)"
2534,005087.jpg,"(array([110, 177, 289, 357]), 14)"
2535,005088.jpg,"(array([131, 322, 373, 498]), 15)"
2536,005089.jpg,"(array([ 62,  43, 227, 252]), 8)"
2537,005091.jpg,"(array([124, 212, 253, 434]), 7)"
2538,005092.jpg,"(array([  1, 100, 153, 312]), 16)"
2539,005095.jpg,"(array([230, 327, 295, 499]), 19)"
2540,005096.jpg,"(array([  1,   1, 284, 162]), 5)"
2541,005098.jpg,"(array([216,   9, 499, 373]), 2)"
2542,005099.jpg,"(array([211,   1, 481, 325]), 7)"
2543,005100.jpg,"(array([ 77, 170, 374, 466]), 15)"
2544,005103.jpg,"(array([ 41, 121, 460, 286]), 15)"
2545,005105.jpg,"(array([124,  13, 349, 492]), 7)"
2546,005106.jpg,"(array([192, 123, 244, 288]), 1)"
2547,005109.jpg,"(array([  3,   0, 349, 464]), 8)"
2548,005112.jpg,"(array([265, 145, 293, 254]), 4)"
2549,005113.jpg,"(array([134, 217, 223, 315]), 3)"
2550,005115.jpg,"(array([ 45, 110, 374, 381]), 3)"
2551,005117.jpg,"(array([  1,   1, 499, 374]), 15)"
2552,005118.jpg,"(array([  6,   0, 373, 498]), 15)"
2553,005119.jpg,"(array([140, 124, 373, 465]), 2)"
2554,005120.jpg,"(array([223,  20, 476, 332]), 2)"
2555,005123.jpg,"(array([ 89,   0, 194, 494]), 19)"
2556,005125.jpg,"(array([ 53,  60, 332, 477]), 7)"
2557,005126.jpg,"(array([130,  73, 224, 260]), 7)"
2558,005127.jpg,"(array([ 80, 185, 303, 317]), 12)"
2559,005132.jpg,"(array([ 80,  88, 285, 351]), 13)"
2560,005133.jpg,"(array([113, 219, 268, 441]), 14)"
2561,005137.jpg,"(array([ 30, 159,  64, 202]), 17)"
2562,005139.jpg,"(array([120, 146, 268, 357]), 13)"
2563,005140.jpg,"(array([124, 149, 332, 473]), 11)"
2564,005141.jpg,"(array([166,   0, 330, 178]), 10)"
2565,005142.jpg,"(array([ 61,  18, 320, 455]), 7)"
2566,005147.jpg,"(array([142, 211, 210, 301]), 17)"
2567,005148.jpg,"(array([113,   4, 374, 242]), 15)"
2568,005149.jpg,"(array([131, 163, 332, 499]), 12)"
2569,005151.jpg,"(array([230,   0, 374, 499]), 11)"
2570,005152.jpg,"(array([ 13, 110, 374, 499]), 12)"
2571,005154.jpg,"(array([ 85,   1, 260, 360]), 19)"
2572,005155.jpg,"(array([  2,   2, 373, 497]), 8)"
2573,005157.jpg,"(array([199,  96, 275, 289]), 7)"
2574,005158.jpg,"(array([ 90,  18, 313, 468]), 7)"
2575,005162.jpg,"(array([169, 125, 238, 233]), 15)"
2576,005163.jpg,"(array([141,   0, 332,  56]), 7)"
2577,005164.jpg,"(array([157, 269, 256, 382]), 17)"
2578,005165.jpg,"(array([ 70,  60, 332, 472]), 12)"
2579,005166.jpg,"(array([ 60,  35, 276, 394]), 7)"
2580,005167.jpg,"(array([168, 241, 214, 269]), 3)"
2581,005170.jpg,"(array([114, 301, 306, 373]), 15)"
2582,005172.jpg,"(array([ 56,   1, 332, 499]), 19)"
2583,005174.jpg,"(array([127,   2, 374, 470]), 11)"
2584,005178.jpg,"(array([ 32,  90, 374, 481]), 20)"
2585,005180.jpg,"(array([376, 168, 499, 374]), 9)"
2586,005182.jpg,"(array([ 87, 153, 265, 368]), 13)"
2587,005184.jpg,"(array([177, 180, 374, 336]), 15)"
2588,005187.jpg,"(array([267,   0, 499, 332]), 18)"
2589,005188.jpg,"(array([ 18,   8, 353, 499]), 14)"
2590,005192.jpg,"(array([ 14,  53, 309, 478]), 7)"
2591,005193.jpg,"(array([137, 122, 364, 499]), 12)"
2592,005194.jpg,"(array([ 16,   3, 492, 434]), 12)"
2593,005196.jpg,"(array([ 98,   2, 374, 499]), 18)"
2594,005197.jpg,"(array([115,   6, 306, 351]), 14)"
2595,005198.jpg,"(array([ 73, 277, 224, 388]), 13)"
2596,005200.jpg,"(array([ 11,  96, 143, 444]), 8)"
2597,005201.jpg,"(array([ 47,   4, 328, 466]), 8)"
2598,005204.jpg,"(array([133, 144, 217, 368]), 7)"
2599,005205.jpg,"(array([ 46, 371, 342, 457]), 15)"
2600,005206.jpg,"(array([145, 213, 297, 255]), 15)"
2601,005207.jpg,"(array([103,  49, 352, 385]), 3)"
2602,005211.jpg,"(array([ 24,  36, 312, 462]), 2)"
2603,005213.jpg,"(array([ 92,  25, 363, 476]), 4)"
2604,005216.jpg,"(array([ 47, 191, 348, 313]), 5)"
2605,005218.jpg,"(array([ 69, 139, 261, 400]), 9)"
2606,005221.jpg,"(array([ 97,  11, 371, 486]), 18)"
2607,005225.jpg,"(array([ 25,   0, 363, 421]), 15)"
2608,005226.jpg,"(array([ 92,  33, 356, 171]), 15)"
2609,005227.jpg,"(array([  7,  65, 303, 345]), 15)"
2610,005228.jpg,"(array([ 95, 294, 218, 499]), 8)"
2611,005232.jpg,"(array([130, 237, 290, 464]), 2)"
2612,005233.jpg,"(array([195,  97, 370, 372]), 11)"
2613,005234.jpg,"(array([104,  64, 293, 499]), 1)"
2614,005235.jpg,"(array([174, 109, 363, 282]), 20)"
2615,005237.jpg,"(array([ 14,  24, 228, 486]), 18)"
2616,005238.jpg,"(array([124,  11, 230, 484]), 1)"
2617,005240.jpg,"(array([ 81,  55, 352, 482]), 19)"
2618,005241.jpg,"(array([  0, 101, 348, 499]), 12)"
2619,005243.jpg,"(array([ 10, 124, 208, 442]), 4)"
2620,005247.jpg,"(array([127,  87, 374, 415]), 3)"
2621,005249.jpg,"(array([ 37,   7, 436, 372]), 1)"
2622,005250.jpg,"(array([ 24, 177, 364, 499]), 18)"
2623,005251.jpg,"(array([  2,   1, 255, 496]), 19)"
2624,005252.jpg,"(array([198,  17, 499, 332]), 11)"
2625,005255.jpg,"(array([126,   0, 241, 113]), 20)"
2626,005256.jpg,"(array([  8,  29, 331, 448]), 19)"
2627,005261.jpg,"(array([256, 115, 374, 499]), 18)"
2628,005265.jpg,"(array([ 67,  19, 297, 499]), 6)"
2629,005266.jpg,"(array([194,  46, 374, 343]), 18)"
2630,005271.jpg,"(array([ 72, 102, 295, 374]), 6)"
2631,005272.jpg,"(array([  2,  64, 223, 239]), 4)"
2632,005275.jpg,"(array([130,  31, 330, 477]), 7)"
2633,005276.jpg,"(array([106, 170, 374, 286]), 15)"
2634,005277.jpg,"(array([107, 202, 234, 308]), 12)"
2635,005279.jpg,"(array([ 28,  27, 301, 312]), 9)"
2636,005280.jpg,"(array([115, 184, 208, 403]), 19)"
2637,005282.jpg,"(array([ 36,  15, 308, 488]), 3)"
2638,005284.jpg,"(array([  7, 322, 358, 493]), 16)"
2639,005286.jpg,"(array([  1,   3, 374, 432]), 9)"
2640,005287.jpg,"(array([114, 118, 308, 384]), 7)"
2641,005289.jpg,"(array([149, 102, 306, 178]), 3)"
2642,005291.jpg,"(array([ 12,  30, 374, 484]), 15)"
2643,005294.jpg,"(array([  1, 134, 374, 482]), 5)"
2644,005295.jpg,"(array([166,  16, 374, 161]), 15)"
2645,005296.jpg,"(array([261, 169, 373, 499]), 7)"
2646,005299.jpg,"(array([ 22, 123, 317, 448]), 13)"
2647,005300.jpg,"(array([ 39, 219, 247, 346]), 8)"
2648,005301.jpg,"(array([ 49,  55, 421, 232]), 15)"
2649,005302.jpg,"(array([192, 110, 242, 136]), 9)"
2650,005308.jpg,"(array([ 86,  34, 301, 182]), 15)"
2651,005309.jpg,"(array([  7,   0, 320, 463]), 8)"
2652,005313.jpg,"(array([123,   0, 332,  95]), 9)"
2653,005316.jpg,"(array([212, 104, 374, 499]), 7)"
2654,005317.jpg,"(array([ 43,  17, 374, 499]), 8)"
2655,005321.jpg,"(array([  2,   1, 330, 463]), 15)"
2656,005322.jpg,"(array([  7,  40, 499, 272]), 15)"
2657,005323.jpg,"(array([  0, 230, 372, 499]), 9)"
2658,005324.jpg,"(array([192, 339, 365, 467]), 17)"
2659,005329.jpg,"(array([197,   0, 297, 157]), 4)"
2660,005330.jpg,"(array([134,   1, 242, 378]), 19)"
2661,005332.jpg,"(array([125, 335, 187, 368]), 14)"
2662,005333.jpg,"(array([200,   0, 385, 150]), 7)"
2663,005334.jpg,"(array([127,   0, 499, 309]), 13)"
2664,005335.jpg,"(array([214, 294, 314, 434]), 10)"
2665,005339.jpg,"(array([ 33, 170, 385, 391]), 10)"
2666,005341.jpg,"(array([100, 311, 315, 499]), 15)"
2667,005342.jpg,"(array([114, 220, 311, 481]), 13)"
2668,005347.jpg,"(array([ 73,  59, 312, 166]), 15)"
2669,005353.jpg,"(array([ 97,   0, 299, 499]), 18)"
2670,005354.jpg,"(array([ 97,   4, 374, 221]), 14)"
2671,005356.jpg,"(array([  0,   0, 374, 499]), 15)"
2672,005357.jpg,"(array([205,   0, 374, 406]), 7)"
2673,005359.jpg,"(array([ 65,   0, 414, 342]), 19)"
2674,005361.jpg,"(array([ 97,   0, 486, 456]), 12)"
2675,005362.jpg,"(array([230,  29, 288, 281]), 11)"
2676,005364.jpg,"(array([ 17,  90, 499, 296]), 3)"
2677,005366.jpg,"(array([ 53,  50, 374, 419]), 15)"
2678,005372.jpg,"(array([129,  15, 339, 368]), 7)"
2679,005375.jpg,"(array([158, 226, 299, 350]), 15)"
2680,005376.jpg,"(array([204, 171, 257, 377]), 1)"
2681,005377.jpg,"(array([ 48, 281, 374, 499]), 15)"
2682,005381.jpg,"(array([290,  21, 496, 254]), 6)"
2683,005382.jpg,"(array([127, 209, 196, 235]), 4)"
2684,005386.jpg,"(array([  0,  96, 342, 421]), 15)"
2685,005390.jpg,"(array([216, 133, 328, 402]), 19)"
2686,005392.jpg,"(array([ 48,  33, 233, 499]), 1)"
2687,005394.jpg,"(array([ 81,  60, 499, 355]), 12)"
2688,005399.jpg,"(array([ 63, 249, 332, 499]), 15)"
2689,005400.jpg,"(array([ 40,   0, 374, 499]), 18)"
2690,005401.jpg,"(array([ 78,  47, 316, 383]), 7)"
2691,005402.jpg,"(array([126,  60, 286, 308]), 1)"
2692,005403.jpg,"(array([120, 133, 190, 282]), 3)"
2693,005409.jpg,"(array([  0,   1, 330, 290]), 13)"
2694,005411.jpg,"(array([  7,  76, 496, 324]), 15)"
2695,005412.jpg,"(array([252,  96, 374, 197]), 9)"
2696,005415.jpg,"(array([ 60,  62, 275, 137]), 15)"
2697,005422.jpg,"(array([ 95,  47, 241, 332]), 19)"
2698,005425.jpg,"(array([ 53, 159, 442, 258]), 15)"
2699,005426.jpg,"(array([ 28, 226, 243, 334]), 12)"
2700,005427.jpg,"(array([146,  85, 248, 396]), 4)"
2701,005428.jpg,"(array([  0,   0, 361, 216]), 5)"
2702,005432.jpg,"(array([ 12,  23, 359, 475]), 7)"
2703,005435.jpg,"(array([219, 113, 424, 374]), 14)"
2704,005437.jpg,"(array([114,   1, 339, 498]), 7)"
2705,005442.jpg,"(array([124,  16, 374, 292]), 15)"
2706,005443.jpg,"(array([258,  10, 485, 318]), 7)"
2707,005444.jpg,"(array([ 87, 108, 374, 393]), 8)"
2708,005446.jpg,"(array([  0, 100, 225, 251]), 12)"
2709,005447.jpg,"(array([157,  93, 291, 415]), 18)"
2710,005449.jpg,"(array([ 29,   1, 312, 340]), 15)"
2711,005452.jpg,"(array([120, 173, 215, 348]), 8)"
2712,005456.jpg,"(array([ 28, 109, 212, 211]), 13)"
2713,005458.jpg,"(array([137,  26, 320, 472]), 1)"
2714,005459.jpg,"(array([209, 168, 499, 322]), 15)"
2715,005460.jpg,"(array([  3,  39, 369, 483]), 8)"
2716,005462.jpg,"(array([ 32,   0, 439, 319]), 8)"
2717,005463.jpg,"(array([ 35,   1, 266, 486]), 19)"
2718,005464.jpg,"(array([136,   1, 499, 332]), 11)"
2719,005466.jpg,"(array([226, 150, 299, 179]), 15)"
2720,005468.jpg,"(array([ 36,  15, 456, 471]), 14)"
2721,005472.jpg,"(array([164, 128, 296, 359]), 3)"
2722,005473.jpg,"(array([172,  43, 226, 142]), 18)"
2723,005474.jpg,"(array([  7,   5, 291, 350]), 8)"
2724,005476.jpg,"(array([105,  92, 499, 374]), 12)"
2725,005477.jpg,"(array([ 49, 176, 374, 368]), 15)"
2726,005479.jpg,"(array([ 18, 132, 286, 336]), 15)"
2727,005480.jpg,"(array([147, 124, 404, 361]), 2)"
2728,005482.jpg,"(array([ 41,   0, 181, 306]), 12)"
2729,005484.jpg,"(array([ 63, 139, 269, 323]), 6)"
2730,005488.jpg,"(array([ 46,  33, 332, 269]), 15)"
2731,005490.jpg,"(array([ 46, 108, 276, 265]), 15)"
2732,005491.jpg,"(array([ 86, 180, 320, 439]), 15)"
2733,005492.jpg,"(array([ 25, 175, 305, 333]), 14)"
2734,005493.jpg,"(array([ 46,  39, 247, 482]), 7)"
2735,005494.jpg,"(array([  3, 116, 472, 272]), 15)"
2736,005495.jpg,"(array([ 65, 134, 435, 335]), 3)"
2737,005498.jpg,"(array([175,  86, 309, 367]), 18)"
2738,005500.jpg,"(array([ 93, 265, 373, 499]), 15)"
2739,005501.jpg,"(array([ 53,  25, 329, 451]), 7)"
2740,005502.jpg,"(array([137, 247, 324, 314]), 3)"
2741,005503.jpg,"(array([ 59,  71, 323, 488]), 2)"
2742,005504.jpg,"(array([159,   0, 314, 499]), 19)"
2743,005505.jpg,"(array([ 56,  45, 324, 495]), 13)"
2744,005506.jpg,"(array([ 95,  96, 269, 359]), 14)"
2745,005512.jpg,"(array([ 18,  25, 332, 311]), 12)"
2746,005513.jpg,"(array([ 47,  71, 211, 299]), 13)"
2747,005516.jpg,"(array([ 29,  32, 339, 448]), 2)"
2748,005520.jpg,"(array([ 31,   1, 433, 298]), 7)"
2749,005523.jpg,"(array([  3,   0, 339, 492]), 7)"
2750,005525.jpg,"(array([  5, 168, 343, 499]), 16)"
2751,005528.jpg,"(array([ 31, 166, 365, 467]), 12)"
2752,005529.jpg,"(array([136, 249, 186, 356]), 13)"
2753,005532.jpg,"(array([198, 147, 278, 298]), 3)"
2754,005533.jpg,"(array([192, 112, 347, 175]), 15)"
2755,005534.jpg,"(array([ 22,  92, 326, 426]), 14)"
2756,005537.jpg,"(array([136,  49, 289, 386]), 1)"
2757,005538.jpg,"(array([173, 114, 273, 277]), 8)"
2758,005540.jpg,"(array([121, 252, 258, 478]), 2)"
2759,005543.jpg,"(array([123, 206, 357, 315]), 8)"
2760,005545.jpg,"(array([246,  45, 395,  82]), 9)"
2761,005546.jpg,"(array([235, 101, 499, 249]), 15)"
2762,005548.jpg,"(array([ 71,  28, 499, 332]), 15)"
2763,005551.jpg,"(array([164, 263, 307, 499]), 18)"
2764,005553.jpg,"(array([104,  55, 431, 354]), 14)"
2765,005555.jpg,"(array([ 45, 126, 374, 479]), 9)"
2766,005556.jpg,"(array([ 41, 113, 332, 256]), 15)"
2767,005557.jpg,"(array([138,  60, 430, 260]), 12)"
2768,005558.jpg,"(array([  8,  99, 320, 468]), 7)"
2769,005560.jpg,"(array([159, 140, 347, 406]), 2)"
2770,005561.jpg,"(array([  0,   0, 499, 373]), 19)"
2771,005562.jpg,"(array([  0,   1, 371, 464]), 8)"
2772,005564.jpg,"(array([ 39,  19, 386, 212]), 13)"
2773,005565.jpg,"(array([254, 118, 336, 205]), 20)"
2774,005567.jpg,"(array([213, 174, 365, 305]), 16)"
2775,005569.jpg,"(array([223,  68, 358, 412]), 19)"
2776,005570.jpg,"(array([ 29,   0, 374, 294]), 15)"
2777,005571.jpg,"(array([ 73,  21, 310, 453]), 14)"
2778,005572.jpg,"(array([ 77, 132, 432, 459]), 13)"
2779,005575.jpg,"(array([107,   5, 276, 495]), 1)"
2780,005578.jpg,"(array([124, 115, 265, 226]), 17)"
2781,005580.jpg,"(array([ 45,  43, 373, 388]), 8)"
